@@,wdid,name
->,Q79312593,Шухрат Мадаминович Ганиев->Шухрат Ганиев
->,Q72563597,"Шерматов, Шерзод Хотамович->Шерзод Шерматов"
->,Q63283334,"Курбанов, Баходир Низамович->Баходир Курбанов"
->,Q4312092,"Назарбеков, Озодбек Ахадович->Озодбек Назарбеков"
->,Q38905192,"Бабаджанов, Пулат Раззакович->Пулат Бобожонов"
->,Q317484,Абдулазиз Хафизович Камилов->Абдулазиз Камилов
->,Q29349797,"Раматов, Ачилбай Джуманиязович->Ачилбай Раматов"
->,Q28855136,"Султанов, Алишер Саидаббасович->Алишер Султанов"
->,Q28002959,Абдулла Нигматович Арипов->Абдулла Арипов
->,Q24009743,Батир Иркинович Закиров->Батир Закиров
->,Q109656595,"Саидов, Бахтиёр Одилович->Бахтиёр Саидов"
->,Q106612393,"Сариев, Кахраман Раматуллаевич->Кахраман Сариев"
->,Q106606953,"Хидоятов, Шерзод Саиджанович->Шерзод Хидоятов"
->,Q106606931,"Хамраев, Шавкат Рахимович->Шавкат Хамраев"
->,Q106592837,"Махкамов, Илхом Рустамович->Илхом Махкамов"
->,Q106574535,"Ходжаев, Жамшид Абдухакимович->Жамшид Ходжаев"
->,Q106570383,"Маматов, Рахмат Тошназарович->Турсинхан Худайбергенов"
->,Q106530287,"Давлетов, Русланбек Куролтайевич->Русланбек Давлетов"
->,Q106511584,"Мусаев, Бехзод Анварович->Бехзод Мусаев"
->,Q106498315,"Хусанов, Нозим Бахтиёрович->Нозим Хусанов"
->,Q106361482,Иброхим Юлчиевич Абдурахмонов->Иброхим Абдурахмонов
->,Q106171645,Тимур Аминджанович Ишметов->Тимур Ишметов
->,Q105966595,Ташкулов Абдукодир Хамидович->Абдукодир Тошкулов
---,Q84718692,"Умурзаков, Сардор Уктамович"
---,Q84718692,"Умурзаков, Сардор Уктамович"
---,Q24009847,"Абдухакимов, Азиз Абдукахарович"
---,Q24009847,"Абдухакимов, Азиз Абдукахарович"
---,Q24009818,"Худайбергенов, Турсинхан Айдарович"
---,Q106165258,Джамшид Анварович Кучкаров
---,Q106165258,Джамшид Анварович Кучкаров
+++,Q84718692,Сардор Умурзаков
+++,Q84718692,Сардор Умурзаков
+++,Q28665708,Адхам Икрамов
+++,Q24009847,Азиз Абдухакимов
+++,Q24009847,Азиз Абдухакимов
+++,Q106165258,Джамшид Кучкаров
+++,Q106165258,Джамшид Кучкаров
+++,,Абдулла Кулдашев
+++,,Зулайхо Махкамова
