item,itemLabel,position,positionLabel,startDate,endDate
Q28002959,Абдулла Арипов,,Премьер-министр Республики Узбекистан,,
Q29349797,Ачилбай Раматов,,"Первый заместитель премьер-министра — по вопросам комплексного развития территорий, коммуникаций и оборонной промышленности",,
Q106574535,Джамшид Ходжаев,,Заместитель премьер-министра,,
Q106574535,Джамшид Ходжаев,,министр инвестиций и внешней торговли,,
Q106165258,Джамшид Кучкаров,,Заместитель премьер-министра,,
Q106165258,Джамшид Кучкаров,,министр экономики и промышленности,,
,Зулайхо Махкамова,,Заместитель премьер-министра,,
Q79312593,Шухрат Ганиев,,Заместитель премьер-министра по вопросам развития аграрной и продовольственной сфер,,
Q24009847,Азиз Абдухакимов,,Заместитель премьер-министра Республики Узбекистан,,
Q24009847,Азиз Абдухакимов,,министр туризма и спорта,,
Q106612393,Кахраман Сариев,,Председатель Совета министров Каракалпакстана,,
Q106165258,Джамшид Кучкаров,,Министр экономического развития и сокращения бедности,,
Q106171645,Тимур Ишметов,,Министр финансов,,
Q106592837,Илхом Махкамов,,Министр транспорта,,
Q106498315,Нозим Хусанов,,Министр занятости и трудовых отношений,,
Q105966595,Абдукодир Тошкулов,,Министр высшего и среднего специального образования,,
Q109656595,Бахтиёр Саидов,,Министр народного образования,,
Q106511584,Бехзод Мусаев,,Министр здравоохранения,,
Q38905192,Пулат Бобожонов,,Министр внутренних дел,,
Q63283334,Баходир Курбанов,,Министр обороны,,
,Абдулла Кулдашев,,Министр по чрезвычайным ситуациям,,
Q24009743,Батир Закиров,,Министр строительства,,
Q365665,Владимир Норов,,Министр иностранных дел,,
Q106574535,Джамшид Ходжаев,,Министр инвестиций и внешней торговли,,
Q72563597,Шерзод Шерматов,,Министр по развитию информационных технологий и коммуникаций,,
Q106530287,Русланбек Давлетов,,Министр юстиции,,
Q4312092,Озодбек Назарбеков,,Министр культуры,,
Q24009847,Азиз Абдухакимов,,Министр туризма и культурного наследия,,
Q28665708,Адхам Икрамов,,Министр развития спорта,,
Q106606953,Шерзод Хидоятов,,Министр жилищно-коммунального хозяйства,,
Q60330941,Агриппина Шин,,Министр дошкольного образования,,
Q106361482,Иброхим Абдурахмонов,,Министр инновационного развития,,
,,,Министр сельского хозяйства,,
Q106606931,Шавкат Хамраев,,Министр водного хозяйства,,
,,,Министр энергетики,,
Q24009818,Турсинхан Худайбергенов,,Министр по поддержке махалли и семьи,,
