position,title
Q7466263,President
Q7200492,Vice President
Q1348717,Prime Minister
Q110185294,First Deputy Prime Minister
Q110185020,Deputy Prime Minister
Q110184795,Minister of Agriculture
Q110185049,Minister of Construction
Q110184822,Minister of Culture
Q110184811,Minister of Defence
Q110184818,Minister of Economy
Q110184960,Minister of Economic Development and Poverty Reduction
Q110184814,Minister of Emergency Situations
Q110184885,Minister of Employment and Labour Relations
Q110185231,Minister of Energy
Q110184808,Minister of Finance
Q76419028,Minister of Foreign Affairs
Q110184829,Minister of Higher Education
Q110185178,Minister of Housing
Q110184858,Minister of Information Technology and Communication
Q110185201,Minister of Innovative Development
Q110184806,Minister of Internal Affairs
Q110185074,Minister of Investments and Foreign Trade
Q110184816,Minister of Justice
Q110184798,Minister of Labour and Social Protection
Q110185248,Minister of Mahalla and Family
Q110185184,Minister of Pre-School Education
Q110184804,Minister of Public Health
Q110184938,Minister of Public Education
Q110184891,Minister of Sport
Q110186714,Minister of Tourism and Sport
Q110186797,Minister of Transport
Q110185226,Minister of Water Resources
Q110185358,Chair of the Council of Ministers
Q113144156,Head of the Office of the President
Q12829603,Prosecutor General
Q110186854,Chair of the Senate
Q110186847,Speaker of the Legislative Chamber
Q110187196,Governor of the Central Bank
Q65070835,Chief of the General Staff
